Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_784.jpg;0;0;1;1.574306;106.5965;89.1182;358.2437;15.69314;359.993
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_850.jpg;0;0;1;1.415879;106.6776;89.14087;358.1703;15.64445;-0.0009512687
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_917.jpg;0;0;1;1.31364;106.7808;89.16931;358.4062;15.61699;-0.002426083
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_984.jpg;0;0;1;1.182345;106.8519;89.18886;358.7432;15.60108;-0.003931773
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_050.jpg;0;0;1;0.8974499;106.9053;89.20359;358.7701;15.59993;0.00327044
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_117.jpg;0;0;1;0.7138779;106.9494;89.21564;358.4037;15.65791;0.006189326
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_184.jpg;0;0;1;0.456242;106.9666;89.22008;358.0866;15.72303;359.9938
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_250.jpg;0;0;1;0.1344961;106.9705;89.22137;357.7374;15.73132;0.009592474
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_317.jpg;0;0;1;0.05711991;106.9706;89.22144;357.6035;15.73571;0.007890861
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_384.jpg;0;0;1;-0.03736727;106.9707;89.22147;357.8329;15.73715;359.9908
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_451.jpg;0;0;1;-0.1467308;106.9708;89.22148;358.3385;15.73703;359.993
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_518.jpg;0;0;1;-0.226797;106.9705;89.22147;359.3282;15.74904;0.02465841
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_584.jpg;0;0;0;-0.217798;106.9702;89.22138;0.0427209;15.74875;0.05392009
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_651.jpg;0;0;0;-0.1968024;106.97;89.22131;0.6865626;15.74712;0.06068441
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_718.jpg;0;0;0;-0.1582994;106.9698;89.22104;1.361932;15.74733;359.9736
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_784.jpg;0;0;0;-0.1010036;106.9693;89.22243;1.603613;15.74524;0.005501898
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_851.jpg;0;0;0;0;106.9692;89.22208;1.504822;15.7423;359.9913
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_918.jpg;0;0;0;0.0811028;106.9694;89.22146;1.100406;15.74107;-0.001042703
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_29_985.jpg;0;0;0;0.09731609;106.9695;89.22147;0.7715257;15.74057;0.03551794
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_30_051.jpg;0;0;0;0.09528756;106.9696;89.22147;0.4520479;15.7405;0.06813651
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_30_118.jpg;0;0;0;0.0910349;106.9698;89.22147;0.04932725;15.74094;0.1049091
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_30_185.jpg;0;0;0;0.08528613;106.9699;89.22147;359.771;15.74155;0.1272459
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_30_251.jpg;0;0;0;0.07572989;106.97;89.22133;359.5216;15.74216;0.1366549
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_30_318.jpg;0;0;0;0.06038674;106.9702;89.22114;359.2603;15.74244;0.1116294
